20210308,67.42430,8700,Außentemperatur,3.1,&deg;C,8510,Kollektortemperatur 1,46.3,&deg;C,8980,Pufferspeichertemperatur 1,50.6,&deg;C,8830,Trinkwassertemperatur 1,50.0,&deg;C,8832,Trinkwassertemperatur 2,43.8,&deg;C,7750,Trinkwassertemperatur B3,50.0,&deg;C,7820,Fühlertemperatur BX1,46.3,&deg;C,8499,Zustand Kollektorpumpe (Q5),255,0
20210308,67.42500,8700,Außentemperatur,3.1,&deg;C,8510,Kollektortemperatur 1,46.0,&deg;C,8980,Pufferspeichertemperatur 1,50.7,&deg;C,8830,Trinkwassertemperatur 1,50.1,&deg;C,8832,Trinkwassertemperatur 2,43.9,&deg;C,7750,Trinkwassertemperatur B3,50.1,&deg;C,7820,Fühlertemperatur BX1,46.0,&deg;C,8499,Zustand Kollektorpumpe (Q5),0,0
20210308,67.42569,8700,Außentemperatur,3.1,&deg;C,8510,Kollektortemperatur 1,45.4,&deg;C,8980,Pufferspeichertemperatur 1,50.7,&deg;C,8830,Trinkwassertemperatur 1,50.2,&deg;C,8832,Trinkwassertemperatur 2,43.9,&deg;C,7750,Trinkwassertemperatur B3,50.2,&deg;C,7820,Fühlertemperatur BX1,45.4,&deg;C,8499,Zustand Kollektorpumpe (Q5),0,0
20210308,67.42639,8700,Außentemperatur,3.1,&deg;C,8510,Kollektortemperatur 1,44.7,&deg;C,8980,Pufferspeichertemperatur 1,50.8,&deg;C,8830,Trinkwassertemperatur 1,50.2,&deg;C,8832,Trinkwassertemperatur 2,44.0,&deg;C,7750,Trinkwassertemperatur B3,50.2,&deg;C,7820,Fühlertemperatur BX1,44.7,&deg;C,8499,Zustand Kollektorpumpe (Q5),0,0
20210308,67.42708,8700,Außentemperatur,3.0,&deg;C,8510,Kollektortemperatur 1,43.9,&deg;C,8980,Pufferspeichertemperatur 1,50.8,&deg;C,8830,Trinkwassertemperatur 1,50.3,&deg;C,8832,Trinkwassertemperatur 2,44.1,&deg;C,7750,Trinkwassertemperatur B3,50.3,&deg;C,7820,Fühlertemperatur BX1,43.9,&deg;C,8499,Zustand Kollektorpumpe (Q5),0,0
20210308,67.42778,8700,Außentemperatur,3.0,&deg;C,8510,Kollektortemperatur 1,43.3,&deg;C,8980,Pufferspeichertemperatur 1,50.8,&deg;C,8830,Trinkwassertemperatur 1,50.3,&deg;C,8832,Trinkwassertemperatur 2,44.3,&deg;C,7750,Trinkwassertemperatur B3,50.3,&deg;C,7820,Fühlertemperatur BX1,43.3,&deg;C,8499,Zustand Kollektorpumpe (Q5),255,0
20210308,67.42847,8700,Außentemperatur,3.1,&deg;C,8510,Kollektortemperatur 1,46.1,&deg;C,8980,Pufferspeichertemperatur 1,50.8,&deg;C,8830,Trinkwassertemperatur 1,50.4,&deg;C,8832,Trinkwassertemperatur 2,44.6,&deg;C,7750,Trinkwassertemperatur B3,50.4,&deg;C,7820,Fühlertemperatur BX1,46.1,&deg;C,8499,Zustand Kollektorpumpe (Q5),255,0
20210308,67.42917,8700,Außentemperatur,3.1,&deg;C,8510,Kollektortemperatur 1,45.9,&deg;C,8980,Pufferspeichertemperatur 1,50.8,&deg;C,8830,Trinkwassertemperatur 1,50.4,&deg;C,8832,Trinkwassertemperatur 2,44.7,&deg;C,7750,Trinkwassertemperatur B3,50.4,&deg;C,7820,Fühlertemperatur BX1,45.9,&deg;C,8499,Zustand Kollektorpumpe (Q5),0,0
20210308,67.42986,8700,Außentemperatur,3.1,&deg;C,8510,Kollektortemperatur 1,45.7,&deg;C,8980,Pufferspeichertemperatur 1,50.8,&deg;C,8830,Trinkwassertemperatur 1,50.5,&deg;C,8832,Trinkwassertemperatur 2,44.7,&deg;C,7750,Trinkwassertemperatur B3,50.5,&deg;C,7820,Fühlertemperatur BX1,45.7,&deg;C,8499,Zustand Kollektorpumpe (Q5),0,0
20210308,67.43056,8700,Außentemperatur,3.1,&deg;C,8510,Kollektortemperatur 1,45.1,&deg;C,8980,Pufferspeichertemperatur 1,50.9,&deg;C,8830,Trinkwassertemperatur 1,50.5,&deg;C,8832,Trinkwassertemperatur 2,44.7,&deg;C,7750,Trinkwassertemperatur B3,50.5,&deg;C,7820,Fühlertemperatur BX1,45.1,&deg;C,8499,Zustand Kollektorpumpe (Q5),0,0
